TSLA,Date,Close
TSLA,9/8/2015,248.17
TSLA,9/9/2015,248.91
TSLA,9/10/2015,248.48
TSLA,9/11/2015,250.24
TSLA,9/14/2015,253.19
TSLA,9/15/2015,253.57
TSLA,9/16/2015,262.25
TSLA,9/17/2015,262.07
TSLA,9/18/2015,260.62
TSLA,9/21/2015,264.2
TSLA,9/22/2015,260.94
TSLA,9/23/2015,261.06
TSLA,9/24/2015,263.12
TSLA,9/25/2015,256.91
TSLA,9/28/2015,248.43
TSLA,9/29/2015,246.65
TSLA,9/30/2015,248.4
TSLA,10/1/2015,239.88
TSLA,10/2/2015,247.57
TSLA,10/5/2015,246.15
TSLA,10/6/2015,241.46
TSLA,10/7/2015,231.96
TSLA,10/8/2015,226.72
TSLA,10/9/2015,220.69
TSLA,10/12/2015,215.58
TSLA,10/13/2015,219.25
TSLA,10/14/2015,216.88
TSLA,10/15/2015,221.31
TSLA,10/16/2015,227.01
TSLA,10/19/2015,228.1
TSLA,10/20/2015,213.03
TSLA,10/21/2015,210.09
TSLA,10/22/2015,211.72
TSLA,10/23/2015,209.09
TSLA,10/26/2015,215.26
TSLA,10/27/2015,210.35
TSLA,10/28/2015,212.96
TSLA,10/29/2015,211.63
TSLA,10/30/2015,206.93
TSLA,11/2/2015,213.79
TSLA,11/3/2015,208.35
TSLA,11/4/2015,231.63
TSLA,11/5/2015,231.77
TSLA,11/6/2015,232.36
TSLA,11/9/2015,225.33
TSLA,11/10/2015,216.5
TSLA,11/11/2015,219.08
TSLA,11/12/2015,212.94
TSLA,11/13/2015,207.19
TSLA,11/16/2015,214.31
TSLA,11/17/2015,214
TSLA,11/18/2015,221.07
TSLA,11/19/2015,221.8
TSLA,11/20/2015,220.01
TSLA,11/23/2015,217.75
TSLA,11/24/2015,218.25
TSLA,11/25/2015,229.64
TSLA,11/27/2015,231.61
TSLA,11/30/2015,230.26
TSLA,12/1/2015,237.19
TSLA,12/2/2015,231.99
TSLA,12/3/2015,232.71
TSLA,12/4/2015,230.38
TSLA,12/7/2015,231.13
TSLA,12/8/2015,226.72
TSLA,12/9/2015,224.52
TSLA,12/10/2015,227.07
TSLA,12/11/2015,217.02
TSLA,12/14/2015,218.58
TSLA,12/15/2015,221.09
TSLA,12/16/2015,234.51
TSLA,12/17/2015,233.39
TSLA,12/18/2015,230.46
TSLA,12/21/2015,232.56
TSLA,12/22/2015,229.95
TSLA,12/23/2015,229.7
TSLA,12/24/2015,230.57
TSLA,12/28/2015,228.95
TSLA,12/29/2015,237.19
TSLA,12/30/2015,238.09
TSLA,12/31/2015,240.01
TSLA,1/4/2016,223.41
TSLA,1/5/2016,223.43
TSLA,1/6/2016,219.04
TSLA,1/7/2016,215.65
TSLA,1/8/2016,211
TSLA,1/11/2016,207.85
TSLA,1/12/2016,209.97
TSLA,1/13/2016,200.31
TSLA,1/14/2016,206.18
TSLA,1/15/2016,204.99
TSLA,1/19/2016,204.72
TSLA,1/20/2016,198.7
TSLA,1/21/2016,199.97
TSLA,1/22/2016,202.55
TSLA,1/25/2016,196.38
TSLA,1/26/2016,193.56
TSLA,1/27/2016,188.07
TSLA,1/28/2016,189.7
TSLA,1/29/2016,191.2
TSLA,2/1/2016,196.94
TSLA,2/2/2016,182.78
TSLA,2/3/2016,173.48
TSLA,2/4/2016,175.33
TSLA,2/5/2016,162.6
TSLA,2/8/2016,147.99
TSLA,2/9/2016,148.25
TSLA,2/10/2016,143.67
TSLA,2/11/2016,150.47
TSLA,2/12/2016,151.04
TSLA,2/16/2016,155.17
TSLA,2/17/2016,168.68
TSLA,2/18/2016,166.77
TSLA,2/19/2016,166.58
TSLA,2/22/2016,177.74
TSLA,2/23/2016,177.21
TSLA,2/24/2016,179
TSLA,2/25/2016,187.43
TSLA,2/26/2016,190.34
TSLA,2/29/2016,191.93
TSLA,3/1/2016,186.35
TSLA,3/2/2016,188.34
TSLA,3/3/2016,195.74
TSLA,3/4/2016,201.04
TSLA,3/7/2016,205.29
TSLA,3/8/2016,202.6
TSLA,3/9/2016,208.72
TSLA,3/10/2016,205.18
TSLA,3/11/2016,207.5
TSLA,3/14/2016,215.15
TSLA,3/15/2016,218.34
TSLA,3/16/2016,221.93
TSLA,3/17/2016,226.38
TSLA,3/18/2016,232.74
TSLA,3/21/2016,238.32
TSLA,3/22/2016,234.24
TSLA,3/23/2016,222.58
TSLA,3/24/2016,227.75
TSLA,3/28/2016,230.26
TSLA,3/29/2016,230.13
TSLA,3/30/2016,226.89
TSLA,3/31/2016,229.77
TSLA,4/1/2016,237.59
TSLA,4/4/2016,246.99
TSLA,4/5/2016,255.47
TSLA,4/6/2016,265.42
TSLA,4/7/2016,257.2
TSLA,4/8/2016,250.07
TSLA,4/11/2016,249.92
TSLA,4/12/2016,247.82
TSLA,4/13/2016,254.53
TSLA,4/14/2016,251.86
TSLA,4/15/2016,254.51
TSLA,4/18/2016,253.88
TSLA,4/19/2016,247.37
TSLA,4/20/2016,249.97
TSLA,4/21/2016,248.29
TSLA,4/22/2016,253.75
TSLA,4/25/2016,251.82
TSLA,4/26/2016,253.74
TSLA,4/27/2016,251.47
TSLA,4/28/2016,247.71
TSLA,4/29/2016,240.76
TSLA,5/2/2016,241.8
TSLA,5/3/2016,232.32
TSLA,5/4/2016,222.56
TSLA,5/5/2016,211.53
TSLA,5/6/2016,214.93
TSLA,5/9/2016,208.92
TSLA,5/10/2016,208.69
